STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN,Month,Year
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/1/1952,0,0,82,55,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/2/1952,0,0,95,47,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/3/1952,0,0,94,50,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/4/1952,0,0,90,53,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/5/1952,0,0,74,55,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/6/1952,0,0,69,54,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/7/1952,0,0,68,46,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/8/1952,0.4,0,71,47,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/9/1952,0,0,61,40,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/10/1952,0,0,66,36,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/11/1952,0,0,72,36,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/12/1952,0,0,73,45,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/13/1952,0,0,72,42,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/14/1952,0,0,74,50,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/15/1952,0,0,87,40,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/16/1952,0,0,85,42,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/17/1952,0,0,82,47,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/18/1952,0,0,88,55,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/19/1952,0,0,89,58,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/20/1952,0,0,91,52,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/21/1952,0,0,95,43,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/22/1952,0,0,95,44,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/23/1952,0,0,95,43,9,1952
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",9/24/1952,0,0,85,44,9,1952
